id,judul_beasiswa,tanggal_pendaftaran,deadline_pendaftaran,tingkat,lembaga_penyelenggara,syarat_ketentuan,totaluang_beasiswa,more_info,deskripsi
1,Beasiswa Tanoto Foundation,01-02-2024,31-03-2024,"S1, S2",Tanoto Foundation,"IPK minimal 3.5, Mahasiswa aktif, Tergabung dalam organisasi",Rp 24.000.000/tahun,beasiswa@tanotofoundation.org,"Beasiswa yang diberikan oleh Tanoto Foundation, sebuah organisasi filantropi yang fokus pada pendidikan dan pemberdayaan masyarakat. Biasanya ditujukan untuk mahasiswa berprestasi dari keluarga kurang mampu."
2,Beasiswa Karya Salemba Empat,01-03-2024,30-04-2024,S1,Yayasan Karya Salemba Empat,"Mahasiswa aktif, IPK minimal 3.0, Terlibat kegiatan sosial",Rp 7.000.000/tahun,info@karyasalemba4.org,"Beasiswa yang diberikan oleh Yayasan Karya Salemba Empat, sebuah yayasan yang fokus pada pendidikan dan pengembangan masyarakat. Beasiswa ini seringkali ditujukan untuk mahasiswa yang berasal dari keluarga kurang mampu dan memiliki potensi akademik yang tinggi."
3,Beasiswa Pertamina Sobat Bumi,01-01-2024,15-03-2024,"S1, S2",Pertamina Foundation,"Mahasiswa aktif, Minat dalam lingkungan, IPK minimal 3.0",Rp 18.000.000/tahun,sobatbumi@pertaminafoundation.org,Beasiswa yang diberikan oleh PT Pertamina untuk mendukung mahasiswa yang berminat di bidang energi dan lingkungan. Beasiswa ini ditujukan untuk mahasiswa yang peduli terhadap isu-isu lingkungan dan memiliki prestasi akademik yang baik. Penerima beasiswa diharapkan berkontribusi dalam pengembangan keberlanjutan lingkungan.
3,Beasiswa CIMB ASEAN Scholarship,01-02-2024,31-03-2024,S1,CIMB Group,"Mahasiswa aktif, GPA minimal 3.5, TOEFL/IELTS diperlukan",USD 15.000/tahun,scholarship@cimb.com,"Beasiswa yang diberikan oleh CIMB Group untuk mahasiswa ASEAN yang ingin melanjutkan studi di bidang keuangan atau bisnis.  Program ini mencakup biaya kuliah, tunjangan hidup, serta dukungan karir dan pengembangan diri."
4,Beasiswa Jardine Foundation,01-03-2024,31-05-2024,"S1, S2",Jardine Foundation,"Prestasi akademik, Minat dalam leadership, TOEFL/IELTS",Full tuition + biaya hidup,info@jardine-foundation.org,"Beasiswa yang diberikan oleh Jardine Foundation, sebuah yayasan yang didirikan oleh keluarga Jardine Matheson. Beasiswa ini biasanya diberikan kepada mahasiswa yang berasal dari negara-negara berkembang dan memiliki potensi kepemimpinan."
5,Beasiswa Gates Cambridge,01-04-2024,31-07-2024,"S2, S3",University of Cambridge,"GPA minimal 3.7, TOEFL/IELTS, Proposal penelitian",GBP 50.000/tahun,admissions@gatescambridge.org,"Beasiswa ini didanai oleh Bill and Melinda Gates Foundation untuk mahasiswa yang ingin melanjutkan studi pascasarjana di Universitas Cambridge. Beasiswa mencakup biaya kuliah, tunjangan hidup, tiket perjalanan, dan biaya penelitian."
6,Beasiswa Orange Tulip,15-01-2024,15-04-2024,"S1, S2",Nuffic Neso Indonesia,"Prestasi akademik, GPA minimal 3.0, Surat rekomendasi",EUR 25.000/tahun,orangetulip@nesoindonesia.or.id,Beasiswa ini ditawarkan kepada pelajar Indonesia yang ingin melanjutkan studi di Belanda. Beasiswa ini disediakan oleh universitas-universitas di Belanda yang bekerja sama dengan Nuffic Neso Indonesia.
7,Beasiswa Monbukagakusho,01-05-2024,31-07-2024,"S1, S2, S3",Pemerintah Jepang,"Mahasiswa aktif, GPA minimal 3.2, Kemampuan bahasa Jepang",JPY 1.200.000/bulan,beasiswa@id.emb-japan.go.jp,"Beasiswa yang ditawarkan oleh pemerintah Jepang untuk mahasiswa internasional yang ingin melanjutkan studi di Jepang. Beasiswa ini mencakup biaya kuliah, biaya hidup, dan biaya perjalanan."
8,Beasiswa Eiffel Excellence,01-06-2024,31-08-2024,"S1, S2",Pemerintah Perancis,"Mahasiswa aktif, GPA minimal 3.7, TOEFL/IELTS",EUR 10.000/tahun,eiffel@campusfrance.org,"Beasiswa ini ditawarkan oleh pemerintah Prancis untuk mahasiswa internasional yang ingin melanjutkan studi di tingkat master atau doktoral di Prancis. Beasiswa ini mencakup biaya kuliah, tunjangan hidup, dan berbagai tunjangan lainnya."
9,Beasiswa Australia Awards,01-02-2024,30-04-2024,"S2, S3",Pemerintah Australia,"GPA minimal 3.0, Komitmen kembali ke negara asal",AUD 30.000/tahun,awards@dfat.gov.au,"Beasiswa ini disediakan oleh pemerintah Australia bagi pelajar internasional untuk melanjutkan studi di perguruan tinggi Australia. Beasiswa ini mencakup biaya kuliah, biaya hidup, dan tunjangan perjalanan."
