id,bidang,judul_lomba,more_info,tanggal_pendaftaran,deadline_pendaftaran,tingkat,lembaga_penyelenggara,narahubung,deskripsi,biaya_pendaftaran
1,bisnis,UGM Business Innovation,businessinnovation@ugm.ac.id,15-08-2022,05-09-2023,Universitas,Universitas Gadjah Mada,6281234567890,Kompetisi inovasi bisnis yang menantang mahasiswa untuk mengembangkan solusi kreatif terhadap masalah bisnis.,Rp 250.000
2,bisnis,UI BizMaster Challenge,bizmaster@ui.ac.id,10-05-2023,01-09-2023,Universitas,Universitas Indonesia,6282123456789,Lomba tahunan yang menguji keterampilan analitis dan strategis mahasiswa dalam menyelesaikan kasus bisnis.,Rp 300.000
3,bisnis,ITS Business Challenge,businesschallenge@its.ac.id,25-04-2021,15-09-2021,Universitas,Institut Teknologi Sepuluh November,6281432109876,Tantangan bisnis yang dirancang untuk memfasilitasi pengembangan keterampilan kewirausahaan mahasiswa.,Rp 200.000
4,bisnis,UNDIP Entrepreneurship,entrepreneurship@undip.ac.id,18-03-2024,08-09-2024,Universitas,Universitas Diponegoro,6281765432190,Acara yang mendorong mahasiswa untuk merancang dan mengimplementasikan ide-ide bisnis yang berkelanjutan.,Rp 150.000
5,bisnis,IPB AgriBusiness Competition,agribusiness@ipb.ac.id,12-11-2023,02-03-2024,Universitas,Institut Pertanian Bogor,6281098765432,"Kompetisi yang mendorong inovasi di sektor agribisnis, dengan fokus pada solusi berkelanjutan.",Rp 175.000
6,bisnis,UNPAD Business Expo,businessexpo@unpad.ac.id,05-08-2023,28-08-2023	,Universitas,Universitas Padjajaran,6281327000205,Pameran yang memberikan platform bagi mahasiswa untuk menampilkan dan menguji ide bisnis mereka.,Rp 100.000
7,bisnis,UB Entrepreneur Fair,entrepreneurfair@ub.ac.id,10-04-2022,31-08-2022,Universitas,Universitas Brawijaya,6281543210987,Acara yang mengumpulkan pemikir bisnis muda untuk mengembangkan dan mempresentasikan rencana bisnis.,Rp 125.000
8,bisnis,UNHAS Start-Up Competition,startup@unhas.ac.id	,28-08-2021	,18-09-2021	,Universitas,Universitas Hasanudin,6281456789012,Lomba untuk startup yang memberikan kesempatan bagi para inovator untuk menunjukkan ide bisnis mereka.,Rp 130.000
9,bisnis,UNS Business Plan,businessplan@uns.ac.id,22-06-2021,10-09-2022,Universitas,Universitas Sebelas Maret,6281987654321,Lomba yang menantang peserta untuk mengembangkan rencana bisnis yang solid dan layak secara komersial.,Rp 110.000
10,it,UGM ITFest	,https://www.find-it.id/,21-3-2024,1-5-2024,Universitas,Universitas Gadjah Mada,6281953524196,"Festival TI yang mencakup kompetisi, lokakarya, dan pameran untuk meningkatkan keterampilan teknologi.",Rp 160.000
11,it,Compfest UI	,https://compfest.id/,24-6-2024,25-7-2024,Universitas,Universitas Indonesia,6281123456789,Kompetisi teknologi terbesar di UI yang mengundang inovator IT untuk berkompetisi dalam pengembangan solusi teknis.,Rp 190.000
12,it,USU IT Fair,bit.ly/USUITFair2023	,07-03-2023,29-08-2023,Universitas,Universitas Sumatera Utara,6281678901234,Pameran IT yang menampilkan teknologi terbaru dan mengadakan kompetisi dalam pengembangan perangkat lunak.,Rp 180.000
13,it,ITS Technofest,technofest@its.ac.id,25-05-2022,15-09-2022,Universitas,Institut Teknologi Sepuluh November,6281432109876,Festival teknologi tahunan yang menampilkan inovasi dan kompetisi dalam berbagai bidang IT.,Rp 210.000
